Id,Title,Location,PriceEuro,PriceKuna,Area,CijenaKvadratEuro,CijenaKvadratKuna,Posted,Link,Photo
1,"Stan Gornja Dubrava Granešina, ulica Križnog puta 51 Dubrava",Grad Zagreb,186,1400,50,3,28,Objavljeno prije 2 h,https://www.index.hr/oglasi/stan-gornja-dubrava-granesina-ulica-kriznog-puta-51-dubrava/oid/2745896,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//2//9/2745896/20210216153219-190220211942043521.jpg?preset=oglas-slika-view
4,"Stan 52m2, CENTAR SESVETA",Grad Zagreb,750,5638,52,14,108,Objavljeno prije 3 h,https://www.index.hr/oglasi/stan-52m2-centar-sesveta/oid/3248072,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22/3248072/MZ9A6764-221220211336446339.jpg?preset=oglas-slika-view
5,Stan Trešnjevka - Jug Jarun,Grad Zagreb,350,2631,30,11,87,Objavljeno prije 6 h,https://www.index.hr/oglasi/stan-tresnjevka-jug-jarun/oid/3247910,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22/3247910/iznajmljujem-jednoipolsobni-stan-jarunu-slika-162594402-221220211055281938.jpg?preset=oglas-slika-view
6,Stan Trešnjevka - Jug Prečko,Grad Zagreb,620,4657,57,10,81,Objavljeno prije 6 h,https://www.index.hr/oglasi/stan-tresnjevka-jug-precko/oid/3247896,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22/3247896/stan-zagreb-precko-5700-m2-novogradnja-blizu-jaruna-namjesten-slika-134574783-221220211032443633.jpg?preset=oglas-slika-view
7,Najam Stan Osijek Gornji grad / Centar,Osječko-baranjska,400,3004,60,6,50,Objavljeno prije 6 h,https://www.index.hr/oglasi/najam-stan-osijek-gornji-grad-centar/oid/3169620,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//11//1/3169620/20211101185625-011120212015382655.jpg?preset=oglas-slika-view
8,Garsonijera Kozala,Primorsko-goranska,300,2253,26,11,86,Objavljeno prije 8 h,https://www.index.hr/oglasi/garsonijera-kozala/oid/3247818,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22/3247818/01229213-C5AB-4624-80B2-CD4092874C23-221220210910463670.jpeg?preset=oglas-slika-view
9,Garsonijera Stenjevec - SVE REŽIJE UKLJUČENE,Grad Zagreb,373,2800,25,14,112,Objavljeno prije 8 h,https://www.index.hr/oglasi/garsonijera-stenjevec-sve-rezije-ukljucene/oid/3247813,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22/3247813/1-221220210907041329.jpg?preset=oglas-slika-view
10,Iznajmljujem stan u Vinkovcima Mažuranićev blok,Vukovarsko-srijemska,1200,9013,30,40,300,Objavljeno prije 8 h,https://www.index.hr/oglasi/iznajmljujem-stan-u-vinkovcima-mazuranicev-blok/oid/3247769,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22/3247769/IMG20211221160220-221220210815549391.jpg?preset=oglas-slika-view
11,"Iznajmljuje se stan na Trešnjevci, Sokolgradska ulica 74",Grad Zagreb,450,3380,43,10,78,Objavljeno prije 9 h,https://www.index.hr/oglasi/iznajmljuje-se-stan-na-tresnjevci-sokolgradska-ulica-74/oid/3247764,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22/3247764/92F8D95F-17E1-47A9-81BC-6989C92B7233-221220210804569543.jpeg?preset=oglas-slika-view
12,IZNAJMLJIVANJE 3 SOBNOG STANA cca 69 m2 U CENTRU GRADA,Varaždinska,500,3758,69,7,54,Objavljeno prije 24 h,https://www.index.hr/oglasi/iznajmljivanje-3-sobnog-stana-cca-69-m2-u-centru-grada/oid/3247697,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247697/522-rent_20211222012402834_0_.jpg?preset=oglas-slika-view
